pmtid,pmtx,pmty,pmtz
694,1445.5656,875.4655,357.2
4706,-1278.0146,-1105.7933,-848.39996
7213,1570.5844,-623.9912,-279.09998
3395,-1571.322,622.131,212.09999
2491,-721.3757,1528.3053,1205.5999
5966,246.87991,-1671.8702,1696.7999
4060,-1666.6659,-279.86606,357.2
10965,-1166.5499,1166.5499,-1810.0
1636,383.966,1645.8038,-1551.7
2654,-966.147,1386.6001,-1696.7999
9073,-812.35,883.74994,1810.0
2961,-1279.3215,1104.281,-1629.7999
8514,954.44995,-35.35,1810.0
3528,-1636.9054,420.28632,-1205.5999
10578,318.15,459.55,-1810.0
9481,672.35,-1378.65,-1810.0
8557,600.24994,35.35,1810.0
8580,-1096.5499,106.049995,1810.0
8649,530.24994,176.75,1810.0
8371,672.35,-247.44998,1810.0
8872,106.049995,530.24994,1810.0
1561,522.239,1607.2854,357.2
7761,672.35,-1307.95,1810.0
8826,36.05,459.55,1810.0
6592,1075.7031,-1303.4426,-915.39996
8959,36.05,671.64996,1810.0
10794,176.05,813.0499,-1810.0
9633,-176.05,-1025.15,-1810.0
8730,-248.14998,318.15,1810.0
10096,-954.44995,-247.44998,-1810.0
8134,-36.05,-600.95,1810.0
9129,388.15,954.44995,1810.0
3481,-1618.4468,486.5492,-915.39996
2858,-1183.8589,1206.059,-1696.7999
7524,1676.6737,-211.81454,67.0
5546,-314.7104,-1660.439,848.39996
344,1636.9055,420.28583,848.39996
5500,-387.86063,-1644.8903,1205.5999
5639,-176.6545,-1680.7418,212.09999
5113,-843.26776,-1464.5817,-915.39996
9494,-388.14996,-1307.95,-1810.0
4785,-1231.9576,-1156.8839,1127.5
3103,-1368.413,991.73883,1205.5999
9655,-1308.6499,-954.44995,-1810.0
4276,-1596.653,-553.89484,1205.5999
4944,-1075.7051,-1303.4412,1551.7
4383,-1543.8921,-687.38434,1551.7
4180,-1636.9058,-420.28506,1629.7999
4823,-1182.4319,-1207.458,212.09999
3394,-1571.322,622.131,145.09999
4876,-1132.3168,-1254.5751,357.2
4063,-1666.6659,-279.86606,569.3
4540,-1407.6376,-935.2308,-1763.7999
9071,-954.44995,883.74994,1810.0
4967,-1021.77374,-1346.1346,-424.19998
7187,1543.8912,-687.3861,1484.7
10903,-460.24997,1025.1499,-1810.0
4985,-1021.77374,-1346.1346,848.39996
9732,1378.6499,-883.75,-1810.0
8995,-460.24997,742.35,1810.0
2986,-1279.3215,1104.281,145.09999
2800,-1077.2461,1302.1677,1417.7
635,1479.9939,815.91565,-212.09999
5558,-314.7104,-1660.439,1696.7999
6248,656.7438,-1557.173,0.0
5948,246.87991,-1671.8702,424.19998
3386,-1571.322,622.131,-424.19998
2758,-1077.2461,1302.1677,-1551.7
2095,-246.87976,1671.8702,-1551.7
3791,-1688.5176,70.770676,-636.3
2184,-316.67383,1660.0656,1127.5
8173,-388.14996,-530.25,1810.0
4250,-1596.653,-553.89484,-636.3
4825,-1182.4319,-1207.458,357.2
7914,-812.35,-954.44995,1810.0
9872,-742.35,-600.95,-1810.0
6307,719.56586,-1529.1582,569.3
9177,1096.5499,1025.1499,1810.0
10844,812.3499,883.74994,-1810.0
8224,36.05,-459.54996,1810.0
107,1684.073,141.41553,-1484.7
8725,-600.25,318.15,1810.0
9243,672.35,1166.5499,1810.0
7523,1676.6737,-211.81454,0.0
560,1543.8918,687.3848,1696.7999
1641,383.966,1645.8038,-1205.5999
10582,600.24994,459.55,-1810.0
1626,456.4008,1627.2057,1339.6
9464,-530.25,-1378.65,-1810.0
7071,1481.92,-812.41187,491.19995
3469,-1618.4468,486.5492,-1763.7999
2882,-1183.8589,1206.059,0.0
9803,530.24994,-742.35,-1810.0
994,1183.8594,1206.0585,-67.0
752,1407.637,935.23157,848.39996
8327,812.3499,-318.15,1810.0
489,1571.3223,622.13043,279.09998
2165,-316.67383,1660.0656,-212.09999
2320,-522.2382,1607.2856,-67.0
7788,388.15,-1237.25,1810.0
7438,1652.6521,-353.3286,1205.5999
3593,-1653.0693,351.3714,-212.09999
3498,-1618.4468,486.5492,279.09998
4778,-1231.9576,-1156.8839,636.3
2123,-246.87976,1671.8702,424.19998
7751,-36.05,-1307.95,1810.0
3987,-1676.6738,-211.81259,-1205.5999
9777,-1308.6499,-742.35,-1810.0
4103,-1652.6527,-353.32553,-212.09999
2614,-903.8574,1427.9852,-915.39996
2820,-1129.343,1257.2527,-781.39996
9814,1308.6499,-742.35,-1810.0
10765,1096.5499,742.35,-1810.0
3388,-1571.322,622.131,-279.09998
1329,782.97046,1497.684,-1629.7999
6380,843.2657,-1464.5829,-1484.7
2355,-589.08606,1584.0068,-1205.5999
4718,-1278.0146,-1105.7933,0.0
7517,1676.6737,-211.81454,-424.19998
4751,-1231.9576,-1156.8839,-1272.6
618,1479.9939,815.91565,-1417.7
4978,-1021.77374,-1346.1346,357.2
2055,-178.64142,1680.5319,-781.39996
1878,104.12029,1686.7896,1127.5
6483,964.50476,-1387.743,-1417.7
4623,-1367.2394,-993.35626,491.19995
9222,-812.35,1166.5499,1810.0
9880,-176.05,-600.95,-1810.0
6293,719.56586,-1529.1582,-424.19998
6197,587.2109,-1584.7029,0.0
8541,-530.25,35.35,1810.0
6412,843.2657,-1464.5829,781.39996
8367,388.15,-247.44998,1810.0
8597,106.049995,106.049995,1810.0
9162,36.05,1025.1499,1810.0
5108,-843.26776,-1464.5817,-1272.6
5144,-843.26776,-1464.5817,1272.6
8373,812.3499,-247.44998,1810.0
8818,-530.25,459.55,1810.0
255,1665.9987,283.81094,1763.7999
7964,-36.05,-883.75,1810.0
2547,-782.9699,1497.6842,1551.7
7834,-1166.5499,-1095.85,1810.0
7957,-530.25,-883.75,1810.0
3147,-1407.6366,935.2322,703.3
2208,-383.96518,1645.804,-781.39996
5955,246.87991,-1671.8702,915.39996
6554,1021.7712,-1346.1366,0.0
2931,-1231.9564,1156.8851,-145.09999
5754,-33.39404,-1689.67,1127.5
3814,-1688.5176,70.770676,993.49994
4683,-1325.684,-1048.1708,1127.5
3514,-1618.4468,486.5492,1417.7
6006,314.70807,-1660.4393,915.39996
4381,-1543.8921,-687.38434,1417.7
6231,656.7438,-1557.173,-1205.5999
5934,246.87991,-1671.8702,-569.3
4842,-1182.4319,-1207.458,1551.7
7870,-1236.55,-1025.15,1810.0
4774,-1231.9576,-1156.8839,357.2
3709,-1676.9232,209.82979,781.39996
9194,-318.15,1095.85,1810.0
4094,-1652.6527,-353.32553,-848.39996
8689,106.049995,247.44998,1810.0
4699,-1278.0146,-1105.7933,-1339.6
9208,672.35,1095.85,1810.0
5151,-843.26776,-1464.5817,1763.7999
3990,-1676.6738,-211.81259,-993.49994
3815,-1688.5176,70.770676,1060.5
4049,-1666.6659,-279.86606,-424.19998
4895,-1132.3168,-1254.5751,1696.7999
4070,-1666.6659,-279.86606,1060.5
10671,600.24994,600.94995,-1810.0
7435,1652.6521,-353.3286,993.49994
9971,-36.05,-459.54996,-1810.0
4418,-1513.7533,-751.4327,424.19998
2173,-316.67383,1660.0656,357.2
10327,-1166.5499,106.049995,-1810.0
4742,-1278.0146,-1105.7933,1696.7999
6831,1278.013,-1105.795,1551.7
3576,-1653.0693,351.3714,-1417.7
4438,-1481.9214,-812.4094,-1763.7999
6834,1278.013,-1105.795,1763.7999
1906,35.393097,1689.6293,-491.19995
3276,-1514.641,749.6418,-993.49994
9616,1236.5499,-1095.85,-1810.0
9833,-388.14996,-671.65,-1810.0
10788,-248.14998,813.0499,-1810.0
5122,-843.26776,-1464.5817,-279.09998
1989,-35.39244,1689.6294,1763.7999
5517,-314.7104,-1660.439,-1205.5999
3062,-1368.413,991.73883,-1696.7999
356,1636.9055,420.28583,1696.7999
6405,843.2657,-1464.5829,279.09998
10413,-1590.75,247.44998,-1810.0
5356,-522.2397,-1607.2853,-1763.7999
6563,1021.7712,-1346.1366,636.3
11061,-884.45,1378.6499,-1810.0
10858,-954.44995,954.44995,-1810.0
3218,-1479.9934,815.9164,-1484.7
6158,522.2374,-1607.286,848.39996
10091,-1308.6499,-247.44998,-1810.0
10646,-1166.5499,600.94995,-1810.0
6470,907.2344,-1425.8422,1272.6
3614,-1653.0693,351.3714,1272.6
2354,-589.08606,1584.0068,-1272.6
10100,-672.35004,-247.44998,-1810.0
2188,-316.67383,1660.0656,1417.7
10173,1236.5499,-176.75,-1810.0
2543,-782.9699,1497.6842,1272.6
6622,1075.7031,-1303.4426,1205.5999
4696,-1278.0146,-1105.7933,-1551.7
4480,-1481.9214,-812.4094,1205.5999
3646,-1665.9984,283.812,-67.0
10746,-248.14998,742.35,-1810.0
9204,388.15,1095.85,1810.0
982,1183.8594,1206.0585,-915.39996
7424,1652.6521,-353.3286,212.09999
8365,248.14998,-247.44998,1810.0
6579,1021.7712,-1346.1366,1763.7999
2965,-1279.3215,1104.281,-1339.6
7813,-176.05,-1166.5499,1810.0
6263,656.7438,-1557.173,1060.5
7886,-106.049995,-1025.15,1810.0
9514,1024.45,-1307.95,-1810.0
2947,-1231.9564,1156.8851,993.49994
5043,-964.50665,-1387.7416,1339.6
10799,530.24994,813.0499,-1810.0
4244,-1596.653,-553.89484,-1060.5
1260,903.8581,1427.9847,703.3
2872,-1183.8589,1206.059,-703.3
6868,1325.6824,-1048.1727,569.3
4310,-1570.5853,-623.98865,0.0
9912,-1024.4501,-530.25,-1810.0
9442,-318.15,-1449.35,-1810.0
4852,-1132.3168,-1254.5751,-1339.6
8745,812.3499,318.15,1810.0
1378,721.3763,1528.305,-1763.7999
9176,1024.45,1025.1499,1810.0
2146,-316.67383,1660.0656,-1551.7
8792,884.44995,388.85,1810.0
2337,-522.2382,1607.2856,1127.5
9128,318.15,954.44995,1810.0
8740,460.25,318.15,1810.0
8871,36.05,530.24994,1810.0
9197,-106.049995,1095.85,1810.0
10469,-884.45,318.15,-1810.0
2275,-456.4,1627.2059,357.2
9074,-742.35,883.74994,1810.0
7735,812.3499,-1378.65,1810.0
35,1689.9988,1.9999992,636.3
7704,388.15,-1449.35,1810.0
10085,1520.7499,-318.15,-1810.0
3779,-1688.5176,70.770676,-1484.7
10044,-1378.65,-318.15,-1810.0
3730,-1684.0729,141.41614,-1339.6
3146,-1407.6366,935.2322,636.3
4474,-1481.9214,-812.4094,781.39996
4325,-1570.5853,-623.98865,1060.5
5138,-843.26776,-1464.5817,848.39996
2981,-1279.3215,1104.281,-212.09999
5296,-656.746,-1557.1721,1205.5999
5046,-964.50665,-1387.7416,1551.7
4018,-1676.6738,-211.81259,993.49994
5126,-843.26776,-1464.5817,0.0
4168,-1636.9058,-420.28506,781.39996
5227,-719.568,-1529.1572,-67.0
10552,-1520.7499,459.55,-1810.0
10604,-1024.4501,530.24994,-1810.0
10226,-1590.75,-35.35,-1810.0
10326,-1236.55,106.049995,-1810.0
11121,36.05,1520.0499,-1810.0
10231,-1236.55,-35.35,-1810.0
10184,-1236.55,-106.049995,-1810.0
10509,-1308.6499,388.85,-1810.0
9759,388.15,-813.05,-1810.0
4239,-1596.653,-553.89484,-1417.7
10966,-1096.5499,1166.5499,-1810.0
10092,-1236.55,-247.44998,-1810.0
10095,-1024.4501,-247.44998,-1810.0
10232,-1166.5499,-35.35,-1810.0
10755,388.15,742.35,-1810.0
10138,-1236.55,-176.75,-1810.0
4321,-1570.5853,-623.98865,781.39996
7245,1596.6523,-553.89636,-1629.7999
9821,-1236.55,-671.65,-1810.0
2666,-966.147,1386.6001,-848.39996
3662,-1665.9984,283.812,1060.5
1400,721.3763,1528.305,-212.09999
565,1514.6411,749.6414,-1551.7
7020,1444.5272,-877.1778,491.19995
541,1543.8918,687.3848,357.2
3129,-1407.6366,935.2322,-569.3
10411,1520.7499,176.75,-1810.0
589,1514.6411,749.6414,145.09999
3114,-1407.6366,935.2322,-1629.7999
4758,-1231.9576,-1156.8839,-781.39996
6354,782.96893,-1497.6848,279.09998
4925,-1075.7051,-1303.4412,212.09999
4702,-1278.0146,-1105.7933,-1127.5
2916,-1231.9564,1156.8851,-1205.5999
7078,1481.92,-812.41187,993.49994
1085,1077.2467,1302.1671,-848.39996
5172,-782.97174,-1497.6832,-357.2
226,1665.9987,283.81094,-279.09998
2675,-966.147,1386.6001,-212.09999
3092,-1368.413,991.73883,424.19998
6298,719.56586,-1529.1582,-67.0
6374,782.96893,-1497.6848,1696.7999
6370,782.96893,-1497.6848,1417.7
7638,1688.4326,-72.77006,915.39996
5249,-719.568,-1529.1572,1484.7
794,1368.4135,991.7382,212.09999
7184,1543.8912,-687.3861,1272.6
1514,589.08685,1584.0065,636.3
2235,-383.96518,1645.804,1127.5
4228,-1617.8702,-488.46265,1417.7
390,1618.4469,486.54868,491.19995
10041,-1590.75,-318.15,-1810.0
9916,-742.35,-530.25,-1810.0
518,1543.8918,687.3848,-1272.6
10707,36.05,671.64996,-1810.0
2476,-721.3757,1528.3053,145.09999
7674,-176.05,-1520.0499,1810.0
8668,-1378.65,247.44998,1810.0
6893,1367.2377,-993.35846,-1272.6
1607,456.4008,1627.2057,0.0
10866,-388.14996,954.44995,-1810.0
1198,966.14777,1386.5996,-67.0
10540,884.44995,388.85,-1810.0
134,1684.073,141.41553,424.19998
3781,-1688.5176,70.770676,-1339.6
3084,-1368.413,991.73883,-145.09999
4652,-1325.684,-1048.1708,-1060.5
7643,1688.4326,-72.77006,1272.6
4622,-1367.2394,-993.35626,424.19998
6655,1132.3153,-1254.5764,-67.0
3472,-1618.4468,486.5492,-1551.7
9847,600.24994,-671.65,-1810.0
2848,-1129.343,1257.2527,1205.5999
4730,-1278.0146,-1105.7933,848.39996
7404,1652.6521,-353.3286,-1205.5999
4604,-1367.2394,-993.35626,-848.39996
